artistname,artistURL,day,starttime,endtime,venue,category
Lido Pimienta,https://schedule.sxsw.com/2018/artists/21024,"Mar 12, 2018",9:00pm , 9:45pm,Empire Garage,Electronic
Lido Pimienta,https://schedule.sxsw.com/2018/artists/21024,"Mar 16, 2018",9:00pm , 9:40pm,The Townsend,Electronic
Lido Pimienta,https://schedule.sxsw.com/2018/artists/21024,"Mar 17, 2018",11:20pm , 11:50pm,Speakeasy,Electronic
Lido Pimienta,https://schedule.sxsw.com/2018/artists/21024,"Mar 15, 2018",8:30pm , 9:10pm,Mohawk Indoor,Electronic
LIFE,https://schedule.sxsw.com/2018/artists/22457,"Mar 12, 2018",1:00am , 1:40am,British Music Embassy @ Latitude 30,Punk
LIFE,https://schedule.sxsw.com/2018/artists/22457,"Mar 15, 2018",9:00pm , 9:40pm,British Music Embassy @ Latitude 30,Punk
LIFE,https://schedule.sxsw.com/2018/artists/22457,"Mar 16, 2018",11:10pm , 11:50pm,Barracuda Backyard,Punk
Lil Boii Kantu,https://schedule.sxsw.com/2018/artists/23690,"Mar 16, 2018",9:45pm , 10:00pm,Buffalo Billiards,Hip Hop / Rap
Lil Freaky aka Dripset Freaky,https://schedule.sxsw.com/2018/artists/23492,"Mar 14, 2018",11:10pm , 11:25pm,Ironwood Hall,Hip Hop / Rap
Lil Gnar,https://schedule.sxsw.com/2018/artists/23733,"Mar 17, 2018",11:45pm , 12:15am,Empire Control Room,Hip Hop / Rap
Lil Gnar,https://schedule.sxsw.com/2018/artists/23733,"Mar 15, 2018",8:40pm , 8:55pm,Stubb's,Hip Hop / Rap
Lime Cordiale,https://schedule.sxsw.com/2018/artists/21593,"Mar 14, 2018",10:00pm , 10:40pm,Lucille,Pop
Lime Cordiale,https://schedule.sxsw.com/2018/artists/21593,"Mar 16, 2018",9:00pm , 9:40pm,Tap Room at The Market,Pop
Lime Cordiale,https://schedule.sxsw.com/2018/artists/21593,"Mar 17, 2018",10:00pm , 10:40pm,Blackheart,Pop
Lincoln Foley Schofield,https://schedule.sxsw.com/2018/artists/23641,"Mar 13, 2018",1:00am , 1:50am,Saxon Pub,Americana
Linda Lee,https://schedule.sxsw.com/2018/artists/22887,"Mar 15, 2018",9:00pm , 10:30pm,Barcelona,DJ
Linda Lee,https://schedule.sxsw.com/2018/artists/22887,"Mar 12, 2018",11:45pm , 1:50am,Barracuda,DJ
Linda Perry,https://schedule.sxsw.com/2018/artists/23251,"Mar 13, 2018",1:00am , 1:50am,The Townsend,Singer Songwriter
Lindsey Mills,https://schedule.sxsw.com/2018/artists/20025,"Mar 15, 2018",8:00pm , 8:40pm,Stephen F's Bar,Rock
Line Upon Line Percussion,https://schedule.sxsw.com/2018/artists/22667,"Mar 14, 2018",10:00pm , 10:40pm,The Hideout,Avant / Experimental
Lingua Franca,https://schedule.sxsw.com/2018/artists/20969,"Mar 15, 2018",9:40pm , 10:10pm,Seven Grand,Hip Hop / Rap
Liniker e os Caramelows,https://schedule.sxsw.com/2018/artists/22031,"Mar 16, 2018",12:30am , 1:15am,Palm Door on Sixth Patio,R & B
Liniker e os Caramelows,https://schedule.sxsw.com/2018/artists/22031,"Mar 15, 2018",12:00am , 12:40am,Russian House,R & B
Lion,https://schedule.sxsw.com/2018/artists/23248,"Mar 13, 2018",10:00pm , 10:40pm,The Townsend,Rock
Lion Babe,https://schedule.sxsw.com/2018/artists/23094,"Mar 13, 2018",12:00am , 12:30am,Lustre Pearl,R & B
Lions Ambition,https://schedule.sxsw.com/2018/artists/21996,"Mar 15, 2018",8:00pm , 8:40pm,Tap Room at The Market,Soul
LIP,https://schedule.sxsw.com/2018/artists/21618,"Mar 13, 2018",8:00pm , 8:40pm,BD Riley's,Rock
Lisa Heller,https://schedule.sxsw.com/2018/artists/23770,"Mar 16, 2018",12:00am , 12:40am,Saxon Pub,Pop
Lisa LeBlanc,https://schedule.sxsw.com/2018/artists/21830,"Mar 16, 2018",11:00pm , 11:40pm,Swan Dive Patio,Folk
Lisa LeBlanc,https://schedule.sxsw.com/2018/artists/21830,"Mar 15, 2018",12:00am , 12:40am,Victorian Room at The Driskill,Folk
Lisa LeBlanc,https://schedule.sxsw.com/2018/artists/21830,"Mar 13, 2018",9:00pm , 9:40pm,Bungalow,Folk
Lisa Morales,https://schedule.sxsw.com/2018/artists/22956,"Mar 13, 2018",10:00pm , 10:40pm,Continental Club,Americana
Little Bacon Bear,https://schedule.sxsw.com/2018/artists/23856,"Mar 15, 2018",None,TBD,TBD,DJ
Little Destroyer,https://schedule.sxsw.com/2018/artists/22771,"Mar 15, 2018",12:00am , 12:40am,Swan Dive,Punk
Little Destroyer,https://schedule.sxsw.com/2018/artists/22771,"Mar 16, 2018",10:20pm , 10:55pm,Sheraton BackYARD,Punk
littleDNGR,https://schedule.sxsw.com/2018/artists/23832,"Mar 13, 2018",9:00pm , 9:40pm,The Townsend,Rock
Living Hour,https://schedule.sxsw.com/2018/artists/22147,"Mar 13, 2018",11:00pm , 11:40pm,Javelina,Pop
Livingmore,https://schedule.sxsw.com/2018/artists/21582,"Mar 13, 2018",10:45pm , 11:25pm,720 Club Patio,Rock
